Hour,Minute,Second,Latitude_deg,Latitude_min,Longitude_deg,Longitude_min,Status,SVs_Used,HDOP,Altitude_mamsl,Geoid_Sep,Age_of_DGNSS_Corr,DGNSS_Ref_Station
12,53,51.00,47,03.59726,008,19.25038,1,06,1.36,542.8,47.3,,
12,53,52.00,47,03.59727,008,19.25039,1,06,1.36,542.8,47.3,,
12,53,53.00,47,03.59728,008,19.25041,1,06,1.36,542.7,47.3,,
12,53,54.00,47,03.59729,008,19.25042,1,06,1.36,542.7,47.3,,
12,53,55.00,47,03.59729,008,19.25042,1,06,1.36,542.7,47.3,,
12,53,56.00,47,03.59730,008,19.25043,1,06,1.36,542.6,47.3,,
12,53,57.00,47,03.59730,008,19.25044,1,06,1.36,542.6,47.3,,
12,53,58.00,47,03.59731,008,19.25045,1,06,1.36,542.5,47.3,,
12,53,59.00,47,03.59732,008,19.25046,1,06,1.36,542.5,47.3,,
12,54,00.00,47,03.59733,008,19.25047,1,06,1.36,542.4,47.3,,
12,54,01.00,47,03.59734,008,19.25048,1,06,1.36,542.4,47.3,,
12,54,02.00,47,03.59735,008,19.25049,1,06,1.36,542.3,47.3,,
12,54,03.00,47,03.59736,008,19.25050,1,06,1.36,542.3,47.3,,
12,54,04.00,47,03.59736,008,19.25050,1,06,1.36,542.3,47.3,,
12,54,05.00,47,03.59737,008,19.25050,1,06,1.36,542.3,47.3,,
12,54,06.00,47,03.59737,008,19.25049,1,06,1.36,542.3,47.3,,
12,54,07.00,47,03.59738,008,19.25049,1,06,1.36,542.3,47.3,,
12,54,08.00,47,03.59739,008,19.25048,1,06,1.36,542.3,47.3,,
12,54,09.00,47,03.59740,008,19.25047,1,06,1.36,542.2,47.3,,
12,54,10.00,47,03.59741,008,19.25047,1,06,1.36,542.1,47.3,,
12,54,11.00,47,03.59742,008,19.25047,1,06,1.36,542.0,47.3,,
12,54,12.00,47,03.59742,008,19.25047,1,06,1.36,542.0,47.3,,
12,54,13.00,47,03.59743,008,19.25047,1,06,1.36,541.9,47.3,,
12,54,14.00,47,03.59744,008,19.25047,1,06,1.36,541.9,47.3,,
12,54,15.00,47,03.59744,008,19.25046,1,06,1.36,541.9,47.3,,
12,54,16.00,47,03.59745,008,19.25046,1,06,1.36,541.8,47.3,,
12,54,17.00,47,03.59745,008,19.25045,1,06,1.36,541.8,47.3,,
12,54,18.00,47,03.59746,008,19.25044,1,06,1.36,541.8,47.3,,
12,54,19.00,47,03.59747,008,19.25043,1,06,1.36,541.8,47.3,,
12,54,20.00,47,03.59748,008,19.25042,1,06,1.36,541.8,47.3,,
12,54,21.00,47,03.59748,008,19.25041,1,06,1.36,541.8,47.3,,
12,54,22.00,47,03.59749,008,19.25039,1,06,1.36,541.7,47.3,,
12,54,23.00,47,03.59750,008,19.25038,1,06,1.36,541.7,47.3,,
12,54,24.00,47,03.59750,008,19.25036,1,06,1.36,541.7,47.3,,
12,54,25.00,47,03.59750,008,19.25035,1,06,1.36,541.6,47.3,,
12,54,26.00,47,03.59751,008,19.25035,1,06,1.36,541.6,47.3,,
12,54,27.00,47,03.59751,008,19.25034,1,06,1.36,541.6,47.3,,
12,54,28.00,47,03.59752,008,19.25033,1,06,1.36,541.5,47.3,,
12,54,29.00,47,03.59752,008,19.25033,1,06,1.36,541.5,47.3,,
12,54,30.00,47,03.59753,008,19.25032,1,06,1.36,541.5,47.3,,
12,54,31.00,47,03.59754,008,19.25031,1,06,1.36,541.5,47.3,,
12,54,32.00,47,03.59754,008,19.25030,1,06,1.36,541.5,47.3,,
12,54,33.00,47,03.59753,008,19.25029,1,06,1.36,541.5,47.3,,
12,54,34.00,47,03.59753,008,19.25028,1,06,1.36,541.5,47.3,,
12,54,35.00,47,03.59752,008,19.25026,1,06,1.36,541.5,47.3,,
12,54,36.00,47,03.59752,008,19.25024,1,06,1.36,541.5,47.3,,
12,54,37.00,47,03.59751,008,19.25022,1,06,1.36,541.5,47.3,,
12,54,38.00,47,03.59749,008,19.25020,1,06,1.36,541.6,47.3,,
12,54,39.00,47,03.59749,008,19.25018,1,06,1.36,541.6,47.3,,
12,54,40.00,47,03.59748,008,19.25017,1,06,1.36,541.7,47.3,,
12,54,41.00,47,03.59747,008,19.25015,1,06,1.36,541.7,47.3,,
12,54,42.00,47,03.59746,008,19.25014,1,06,1.36,541.7,47.3,,
12,54,43.00,47,03.59745,008,19.25012,1,06,1.36,541.7,47.3,,
12,54,44.00,47,03.59745,008,19.25012,1,06,1.36,541.7,47.3,,
12,54,45.00,47,03.59745,008,19.25012,1,06,1.36,541.6,47.3,,
12,54,46.00,47,03.59745,008,19.25012,1,06,1.36,541.5,47.3,,
12,54,47.00,47,03.59744,008,19.25013,1,06,1.36,541.4,47.3,,
