Hour,Minute,Second,Latitude_deg,Latitude_min,Longitude_deg,Longitude_min,Status,SVs_Used,HDOP,Altitude_mamsl,Geoid_Sep,Age_of_DGNSS_Corr,DGNSS_Ref_Station
06,43,48.00,47,01.84776,008,17.42640,1,5,,486.5,,,
06,43,49.00,47,01.84746,008,17.42670,1,5,,487.4,,,
06,43,50.00,47,01.84722,008,17.42694,1,5,,488.0,,,
06,43,51.00,47,01.84692,008,17.42724,1,5,,488.8,,,
06,43,52.00,47,01.84680,008,17.42742,1,5,,489.2,,,
06,43,53.00,47,01.84662,008,17.42772,1,5,,489.7,,,
06,43,54.00,47,01.84644,008,17.42790,1,5,,490.1,,,
06,43,55.00,47,01.84638,008,17.42808,1,5,,490.1,,,
06,43,56.00,47,01.84638,008,17.42820,1,5,,490.1,,,
06,43,57.00,47,01.84632,008,17.42838,1,5,,490.2,,,
06,43,58.00,47,01.84626,008,17.42862,1,5,,490.3,,,
06,43,59.00,47,01.84614,008,17.42886,1,5,,490.5,,,
06,44,00.00,47,01.84602,008,17.42904,1,5,,490.6,,,
06,44,01.00,47,01.84596,008,17.42922,1,5,,490.7,,,
06,44,02.00,47,01.84590,008,17.42940,1,5,,490.6,,,
06,44,03.00,47,01.84590,008,17.42952,1,5,,490.5,,,
06,44,04.00,47,01.84578,008,17.42970,1,5,,490.6,,,
06,44,05.00,47,01.84584,008,17.42976,1,5,,490.3,,,
06,44,06.00,47,01.84584,008,17.42988,1,5,,490.1,,,
06,44,07.00,47,01.84590,008,17.42988,1,5,,489.8,,,
06,44,08.00,47,01.84596,008,17.42988,1,5,,489.4,,,
06,44,09.00,47,01.84608,008,17.42988,1,5,,489.1,,,
06,44,10.00,47,01.84614,008,17.42988,1,5,,488.6,,,
06,44,11.00,47,01.84620,008,17.42982,1,5,,488.3,,,
06,44,12.00,47,01.84620,008,17.42982,1,5,,488.0,,,
06,44,13.00,47,01.84626,008,17.42982,1,5,,487.8,,,
06,44,14.00,47,01.84626,008,17.42982,1,5,,487.5,,,
06,44,15.00,47,01.84626,008,17.42982,1,5,,487.3,,,
06,44,16.00,47,01.84626,008,17.42994,1,5,,487.2,,,
06,44,17.00,47,01.84626,008,17.43000,1,5,,487.1,,,
06,44,18.00,47,01.84626,008,17.43012,1,5,,487.0,,,
13,00,12.00,47,02.63238,008,16.80960,1,10,,652.8,,,
13,00,13.00,47,02.63238,008,16.80954,1,10,,652.8,,,
13,00,14.00,47,02.63244,008,16.80954,1,10,,652.8,,,
13,00,15.00,47,02.63244,008,16.80954,1,10,,652.8,,,
13,00,16.00,47,02.63244,008,16.80954,1,10,,652.9,,,
13,00,17.00,47,02.63244,008,16.80954,1,10,,652.9,,,
13,00,18.00,47,02.63244,008,16.80954,1,10,,652.9,,,
13,00,19.00,47,02.63244,008,16.80954,1,10,,652.9,,,
13,00,20.00,47,02.63244,008,16.80954,1,10,,652.9,,,
13,00,21.00,47,02.63244,008,16.80954,1,10,,652.9,,,
13,00,22.00,47,02.63244,008,16.80954,1,10,,652.9,,,
13,00,23.00,47,02.63250,008,16.80954,1,10,,653.0,,,
13,00,24.00,47,02.63250,008,16.80954,1,10,,653.0,,,
13,00,25.00,47,02.63250,008,16.80948,1,10,,653.0,,,
13,00,26.00,47,02.63250,008,16.80948,1,10,,653.0,,,
13,00,27.00,47,02.63250,008,16.80948,1,10,,653.0,,,
13,00,28.00,47,02.63250,008,16.80948,1,10,,653.1,,,
13,00,29.00,47,02.63250,008,16.80948,1,10,,653.1,,,
13,00,30.00,47,02.63250,008,16.80948,1,10,,653.1,,,
13,00,31.00,47,02.63250,008,16.80942,1,10,,653.1,,,
13,00,32.00,47,02.63250,008,16.80942,1,10,,653.1,,,
13,00,33.00,47,02.63250,008,16.80942,1,10,,653.1,,,
13,00,34.00,47,02.63250,008,16.80942,1,10,,653.1,,,
13,00,35.00,47,02.63256,008,16.80942,1,10,,653.1,,,
13,00,36.00,47,02.63256,008,16.80942,1,10,,653.1,,,
13,00,37.00,47,02.63256,008,16.80942,1,10,,653.1,,,
13,00,38.00,47,02.63256,008,16.80942,1,10,,653.1,,,
13,00,39.00,47,02.63256,008,16.80942,1,10,,653.1,,,
13,00,40.00,47,02.63256,008,16.80942,1,10,,653.1,,,
13,00,41.00,47,02.63256,008,16.80942,1,10,,653.1,,,
13,00,42.00,47,02.63256,008,16.80936,1,10,,653.1,,,
13,00,43.00,47,02.63256,008,16.80936,1,10,,653.1,,,
13,00,44.00,47,02.63256,008,16.80936,1,10,,653.1,,,
13,00,45.00,47,02.63256,008,16.80936,1,10,,653.1,,,
13,00,46.00,47,02.63256,008,16.80936,1,10,,653.1,,,
13,00,47.00,47,02.63256,008,16.80936,1,10,,653.1,,,
13,00,48.00,47,02.63262,008,16.80936,1,10,,653.1,,,
13,00,49.00,47,02.63262,008,16.80936,1,10,,653.1,,,
13,00,50.00,47,02.63262,008,16.80936,1,10,,653.1,,,
13,00,51.00,47,02.63262,008,16.80936,1,10,,653.1,,,
13,00,52.00,47,02.63262,008,16.80936,1,10,,653.0,,,
13,00,53.00,47,02.63262,008,16.80936,1,10,,653.0,,,
13,00,54.00,47,02.63268,008,16.80936,1,10,,653.0,,,
13,00,55.00,47,02.63268,008,16.80936,1,10,,653.0,,,
13,00,56.00,47,02.63268,008,16.80936,1,10,,653.0,,,
13,00,57.00,47,02.63268,008,16.80930,1,10,,653.0,,,
