Hour,Minute,Second,Latitude_deg,Latitude_min,Longitude_deg,Longitude_min,Status,SVs_Used,HDOP,Altitude_mamsl,Geoid_Sep,Age_of_DGNSS_Corr,DGNSS_Ref_Station
13,15,42.00,47,02.63007,008,16.80230,2,08,1.08,635.8,47.3,48.6,0199
13,15,43.00,47,02.63005,008,16.80229,2,08,1.08,635.6,47.3,49.6,0199
13,15,44.00,47,02.63004,008,16.80228,2,08,1.08,635.5,47.3,49.4,0199
13,15,45.00,47,02.63002,008,16.80227,2,08,1.08,635.4,47.3,49.2,0199
13,15,46.00,47,02.63001,008,16.80225,2,08,1.08,635.2,47.3,49.6,0199
13,15,47.00,47,02.63000,008,16.80224,2,08,1.08,635.1,47.3,48.2,0199
13,15,48.00,47,02.62999,008,16.80223,2,08,1.09,634.9,47.3,49.2,0199
13,15,49.00,47,02.62998,008,16.80223,2,08,1.09,634.8,47.3,48.4,0199
13,15,50.00,47,02.62997,008,16.80222,2,08,1.09,634.7,47.3,49.4,0199
13,15,51.00,47,02.62996,008,16.80222,2,08,1.09,634.6,47.3,49.2,0199
13,15,52.00,47,02.62995,008,16.80220,2,08,1.09,634.4,47.3,48.4,0199
13,15,53.00,47,02.62994,008,16.80219,2,08,1.09,634.2,47.3,48.2,0199
13,15,54.00,47,02.62993,008,16.80217,2,08,1.09,634.1,47.3,48.6,0199
13,15,55.00,47,02.62992,008,16.80215,2,08,1.09,633.9,47.3,49.6,0199
13,15,56.00,47,02.62991,008,16.80213,2,08,1.09,633.7,47.3,48.2,0199
13,15,57.00,47,02.62990,008,16.80211,2,08,1.09,633.6,47.3,49.2,0199
13,15,58.00,47,02.62988,008,16.80209,2,08,1.09,633.4,47.3,49.6,0199
13,15,59.00,47,02.62987,008,16.80207,2,08,1.09,633.2,47.3,49.4,0199
13,16,00.00,47,02.62985,008,16.80204,2,08,1.09,633.1,47.3,50.4,0199
13,16,01.00,47,02.62983,008,16.80202,2,08,1.09,632.9,47.3,48.4,0199
13,16,02.00,47,02.62982,008,16.80198,2,08,1.09,632.7,47.3,49.4,0199
13,16,03.00,47,02.62981,008,16.80196,2,08,1.09,632.6,47.3,48.6,0199
13,16,04.00,47,02.62979,008,16.80193,2,08,1.09,632.5,47.3,49.6,0199
13,16,05.00,47,02.62978,008,16.80190,2,08,1.09,632.3,47.3,49.4,0199
13,16,06.00,47,02.62977,008,16.80187,2,08,1.09,632.2,47.3,48.6,0199
13,16,07.00,47,02.62977,008,16.80184,2,08,1.09,632.1,47.3,49.6,0199
13,16,08.00,47,02.62976,008,16.80181,2,08,1.09,632.0,47.3,48.2,0199
13,16,09.00,47,02.62975,008,16.80179,2,08,1.09,631.8,47.3,48.6,0199
13,16,10.00,47,02.62975,008,16.80177,2,08,1.09,631.7,47.3,48.4,0199
13,16,11.00,47,02.62975,008,16.80175,2,08,1.09,631.7,47.3,49.4,0199
13,16,12.00,47,02.62975,008,16.80174,2,08,1.09,631.6,47.3,49.2,0199
13,16,13.00,47,02.62975,008,16.80173,2,08,1.09,631.5,47.3,48.4,0199
13,16,14.00,47,02.62975,008,16.80172,2,08,1.09,631.4,47.3,49.4,0199
13,16,15.00,47,02.62975,008,16.80173,2,08,1.09,631.4,47.3,48.6,0199
13,16,16.00,47,02.62974,008,16.80175,2,08,1.09,631.3,47.3,48.4,0199
13,16,17.00,47,02.62974,008,16.80177,2,08,1.09,631.3,47.3,48.2,0199
13,16,18.00,47,02.62974,008,16.80181,2,08,1.09,631.3,47.3,48.6,0199
13,16,19.00,47,02.62973,008,16.80185,2,08,1.09,631.3,47.3,48.4,0199
13,16,20.00,47,02.62973,008,16.80190,2,08,1.09,631.4,47.3,49.4,0199
13,16,21.00,47,02.62973,008,16.80191,2,08,1.09,631.4,47.3,48.6,0199
13,16,22.00,47,02.62972,008,16.80197,2,08,1.09,631.5,47.3,48.4,0199
13,16,23.00,47,02.62972,008,16.80202,2,08,1.09,631.5,47.3,49.4,0199
13,16,24.00,47,02.62971,008,16.80204,2,08,1.09,631.6,47.3,48.6,0199
13,16,25.00,47,02.62971,008,16.80210,2,08,1.09,631.6,47.3,48.4,0199
13,16,26.00,47,02.62972,008,16.80214,2,08,1.09,631.6,47.3,48.2,0199
13,16,27.00,47,02.62973,008,16.80219,2,08,1.09,631.6,47.3,49.2,0199
13,16,28.00,47,02.62974,008,16.80222,2,08,1.09,631.6,47.3,48.4,0199
13,16,29.00,47,02.62974,008,16.80228,2,08,1.09,631.7,47.3,48.2,0199
13,16,30.00,47,02.62974,008,16.80235,2,08,1.09,631.7,47.3,49.2,0199
13,16,31.00,47,02.62974,008,16.80243,2,08,1.09,631.8,47.3,48.4,0199
13,16,32.00,47,02.62974,008,16.80253,2,08,1.09,631.9,47.3,48.2,0199
13,16,33.00,47,02.62973,008,16.80261,2,08,1.09,632.0,47.3,48.6,0199
13,16,34.00,47,02.62973,008,16.80268,2,08,1.09,632.1,47.3,48.4,0199
13,16,35.00,47,02.62971,008,16.80274,2,08,1.09,632.1,47.3,48.2,0199
13,16,36.00,47,02.62971,008,16.80278,2,08,1.09,632.2,47.3,49.2,0199
13,16,37.00,47,02.62971,008,16.80283,2,08,1.09,632.2,47.3,48.4,0199
13,16,38.00,47,02.62970,008,16.80286,2,08,1.09,632.2,47.3,49.4,0199
13,16,39.00,47,02.62968,008,16.80290,2,08,1.09,632.3,47.3,48.6,0199
13,16,40.00,47,02.62967,008,16.80294,2,08,1.09,632.4,47.3,48.4,0199
13,16,41.00,47,02.62966,008,16.80297,2,08,1.09,632.4,47.3,48.2,0199
13,16,42.00,47,02.62964,008,16.80300,2,08,1.09,632.5,47.3,48.6,0199
13,16,43.00,47,02.62963,008,16.80303,2,08,1.09,632.7,47.3,48.4,0199
13,16,44.00,47,02.62962,008,16.80307,2,08,1.09,632.8,47.3,49.4,0199
13,16,45.00,47,02.62960,008,16.80311,2,08,1.09,632.9,47.3,48.6,0199
13,16,46.00,47,02.62958,008,16.80314,2,08,1.09,633.0,47.3,48.4,0199
13,16,47.00,47,02.62957,008,16.80317,2,08,1.09,633.1,47.3,48.2,0199
13,16,48.00,47,02.62955,008,16.80319,2,08,1.09,633.2,47.3,48.6,0199
13,16,49.00,47,02.62954,008,16.80320,2,08,1.09,633.2,47.3,48.4,0199
13,16,50.00,47,02.62954,008,16.80321,2,08,1.09,633.3,47.3,48.2,0199
13,16,51.00,47,02.62953,008,16.80321,2,08,1.09,633.3,47.3,49.2,0199
13,16,52.00,47,02.62952,008,16.80321,2,08,1.09,633.4,47.3,49.6,0199
13,16,53.00,47,02.62952,008,16.80321,2,08,1.09,633.5,47.3,48.2,0199
13,16,54.00,47,02.62951,008,16.80322,2,08,1.09,633.5,47.3,49.2,0199
13,16,55.00,47,02.62950,008,16.80322,2,08,1.09,633.6,47.3,48.4,0199
13,16,56.00,47,02.62949,008,16.80322,2,08,1.09,633.6,47.3,49.4,0199
13,16,57.00,47,02.62949,008,16.80323,2,08,1.09,633.7,47.3,48.6,0199
13,16,58.00,47,02.62948,008,16.80325,2,08,1.09,633.7,47.3,48.4,0199
13,16,59.00,47,02.62948,008,16.80326,2,08,1.09,633.8,47.3,48.2,0199
13,17,00.00,47,02.62947,008,16.80328,2,08,1.09,633.9,47.3,48.6,0199
13,17,01.00,47,02.62947,008,16.80328,2,08,1.09,633.9,47.3,48.4,0199
13,17,02.00,47,02.62947,008,16.80330,2,08,1.09,634.0,47.3,48.2,0199
13,17,03.00,47,02.62946,008,16.80331,2,08,1.09,634.1,47.3,48.6,0199
13,17,04.00,47,02.62946,008,16.80333,2,08,1.09,634.2,47.3,48.4,0199
13,17,05.00,47,02.62945,008,16.80334,2,08,1.09,634.2,47.3,48.2,0199
13,17,06.00,47,02.62945,008,16.80336,2,08,1.09,634.3,47.3,48.6,0199
13,17,07.00,47,02.62944,008,16.80338,2,08,1.09,634.4,47.3,48.4,0199
13,17,08.00,47,02.62944,008,16.80340,2,08,1.09,634.4,47.3,48.2,0199
13,17,09.00,47,02.62944,008,16.80343,2,08,1.09,634.5,47.3,48.6,0199
13,17,10.00,47,02.62944,008,16.80345,2,08,1.09,634.5,47.3,48.4,0199
13,17,11.00,47,02.62944,008,16.80348,2,08,1.09,634.6,47.3,48.2,0199
13,17,12.00,47,02.62944,008,16.80352,2,08,1.09,634.6,47.3,48.6,0199
13,17,13.00,47,02.62944,008,16.80356,2,08,1.09,634.7,47.3,48.4,0199
13,17,14.00,47,02.62944,008,16.80359,2,08,1.09,634.8,47.3,49.4,0199
13,17,15.00,47,02.62944,008,16.80364,2,08,1.09,634.9,47.3,48.6,0199
13,17,16.00,47,02.62943,008,16.80368,2,08,1.09,634.9,47.3,49.6,0199
13,17,17.00,47,02.62942,008,16.80371,2,08,1.09,635.0,47.3,48.2,0199
13,17,18.00,47,02.62941,008,16.80373,2,08,1.09,635.0,47.3,48.6,0199
13,17,19.00,47,02.62939,008,16.80375,2,08,1.09,635.1,47.3,48.4,0199
13,17,20.00,47,02.62938,008,16.80377,2,08,1.09,635.1,47.3,48.2,0199
13,17,21.00,47,02.62936,008,16.80379,2,08,1.09,635.2,47.3,48.6,0199
13,17,22.00,47,02.62934,008,16.80381,2,08,1.09,635.2,47.3,48.4,0199
13,17,23.00,47,02.62932,008,16.80383,2,08,1.09,635.2,47.3,49.4,0199
13,17,24.00,47,02.62931,008,16.80385,2,08,1.09,635.2,47.3,49.2,0199
13,17,25.00,47,02.62929,008,16.80386,2,08,1.09,635.2,47.3,49.6,0199
13,17,26.00,47,02.62928,008,16.80388,2,08,1.09,635.2,47.3,48.2,0199
13,17,27.00,47,02.62925,008,16.80390,2,08,1.09,635.3,47.3,49.2,0199
13,17,28.00,47,02.62924,008,16.80391,2,08,1.09,635.3,47.3,48.4,0199
13,17,29.00,47,02.62922,008,16.80393,2,08,1.09,635.3,47.3,48.2,0199
13,17,30.00,47,02.62920,008,16.80394,2,08,1.09,635.4,47.3,49.2,0199
13,17,31.00,47,02.62919,008,16.80396,2,08,1.09,635.4,47.3,48.4,0199
13,17,32.00,47,02.62916,008,16.80398,2,08,1.09,635.4,47.3,48.2,0199
